smiles,vapour,aerosol,gas
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Cc2c(N)cccc2N,,1.04,
[Na+].C[O-].COC(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C#N.Nc2ccc(N)cc2,,1.04,
O=CC=O,,2.44,
CC(=O)OOC(C)(C)C,,6.1,
OC(=O)CCS,,1.818,
Nc1cccc(N)c1,,3.2,
CCCCCCC(C)OC(=O)CCCCC(=O)OC(C)CCCCCC,,5.7,
Clc1nc(Cl)nc(Cl)n1,,0.173666667,
Nc1nc(N)nc(N)n1,,5.19,
O=C1NC(=O)NC(=O)N1,,5.25,
OC1CCCCC1,,3.6,
CCCCCl,,7.74,
[Mg++].C[O-].C[O-],,2.1,
OC(=O)\C=C\C(O)=O,,1.306,
N#CCCC#N,,2.67,
OCCCCO,,15,
OCC#CCO,,0.69,
CCCCCCC(O)=O,,4.6,
OC(=O)CCSCCC(O)=O,,5.13,
CN(C)CCCCCCN(C)C,,0.41,
O=CCCCC=O,,0.303333333,
COC(=O)CCCCCCCCC=C,,3.76,
CCCCCCCCN,,1.6,
[NH4+].O.NC([O-])=O,,4.74,
[NH4+].[NH4+].[O-][W]([O-])(=O)=O,,5.35,
[B].[B].[O--].[K+].[K+],,2.03,
O.[Mg].[Al],,5,
O.O.O.O.[Na].OOB=O,,1.165,
CO[Si](CC(C)C)(OC)C(C)C,,4,
CCCCCCC(O)CO,,7.015,
COC(=O)CCCC(=O)OC,,11,
CCCCCCCCCCCCO,,71,
CCCCCCCCCCCCCCCCCCCC,,5.991,
O=Cc1ccccn1,,1.186666667,
CCCCC(CC)CN1C(=O)C2C3CC(C=C3)C2C1=O,,1.953333333,
OCC(CO)(CO)CO,,5.15,
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)(COC(=O)CCCCCCCCCCCCCCCCC)COC(=O)CCCCCCCCCCCCCCCCC,,5.1,
O=C1Nc2ccccc2C(=O)O1,,5.3,
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,,2.485,
Oc1c(Br)cc(Br)cc1Br,,50,
Cc1c(cc(cc1[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O,,1.01,
COC(=O)c1ccccc1O,,0.9,
COc1ccc(CCN)cc1OC,,5.5,
Oc1ccc(Cl)cc1Cc2ccccc2,,2.51,
CN1CCCC1,,4.5,
[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[Ca++].[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O.[O-][S]([O-])(=O)=O,,3.26,
[O--].[O--].[O--].[Al+3].[Y+3],,5.14,
[Na+].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-].[O-]B([O-])[O-],,2.04,
N.N.N.N.N.N.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.O.[Mo].[Mo].[Mo].[Mo].[Mo].[Mo].[Mo],,5.1,
[Ni][Ni][Ni]=[S]=S,,1.138,
[Zn++].[O-][Sn]([O-])=O,,4.35,
ClC(=O)c1ccc2C(=O)OC(=O)c2c1,,2.33,
[O--].[O--].[O--].[Ti+4].[Ba++],,4.89,
[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Zn++].[Zn++],,0.005,
[C-]#[W],,5.3,
Cc1ccc(cc1Cl)[N+]([O-])=O,,0.528,
OC(=O)c1cccc(c1)C(O)=O,,11.37,
[NH4+].[Br-],,0.1,
[SiH2]=[Mo]=[SiH2],,1.93,
S=[W]=S,,5.25,
FC(C(F)(F)F)C(F)(F)Oc1c(Cl)cc(NC(=O)NC(=O)c2c(F)cccc2F)c(F)c1Cl,,5.24,
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Mg++].[Mg++].[Nb+5].[Nb+5],,5.45,
CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,,2.21,
[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[K+].[Sb+3],,5.4,
CCN(CCO)c1ccc(cc1)N=Nc2sc3cc(OC)ccc3[n+]2C.CO[S]([O-])(=O)=O,,1.041,
[O--].[O--].[O--].[Al+3].[Bi+3],,5.07,
[Cl-].CCCCCCCCCCCCCCCC[n+]1ccccc1,,0.054,
CCCCC(CC)C=O,,6.83,
Nc1ccc(O)cc1,,3.42,
CNC=O,,4.1,
NC(=O)N=NC(N)=O,,0.52,
CCCCOC(C)=O,,0.74,
[OH-].[Cr+3].[O-][S]([O-])(=O)=O,,4.58,
[NH4+].[NH4+].[NH4+].[NH4+].[O-][Mo]([O-])(=O)=O.[O-][Mo]([O-])(=O)=O,,5.1,
Fc1ccc(Oc2ccnc3cc(Cl)cc(Cl)c23)cc1,,3.38,
OCC(CO)(CO)COCC(CO)(CO)CO,,5.07,
CC(C)CO[P](=O)(OCC(C)C)OCC(C)C,,5.14,
CCCCO[P](=O)(OCCCC)OCCCC,,4.242,
S.[Mo],,5.1,
CN(C)C(C)=O,,8.8,
[Na+].Cc1ccc(cc1)[S](=O)(=O)[N-]Cl,,0.275,
[Na+].[O-][N+](=O)c1cccc(c1)[S]([O-])(=O)=O,,5.1,
O=C1OC(=O)c2ccc3c4ccc5C(=O)OC(=O)c6ccc(c7ccc1c2c37)c4c56,,5.2,
CC(C)C1=NN(C(=O)NC(C)(C)C)C(=O)N1N,,2.242,
O=C1C=CC(=O)c2ccccc12,,0.046,
[Mg++].[O-][Al]=O.[O-][Al]=O,,3.5,
[OH-].[OH-].[Ca++],,6.04,
O=[Ca],,6.04,
O=[Ce]=O,,5.05,
O=[Cr]O[Cr]=O,,5.41,
[OH-].[OH-].[Mg++],,2.1,
[O--].[O--].[O--].[Sb+3].[Sb+3],,5.2,
[Mg++].O[P]([O-])([O-])=O,,2.6,
O=[Ge]=O,,2.26,
[Li+].[OH-],,4.775,
O=[Mo](=O)=O,,5.1,
O=[Nb](=O)O[Nb](=O)=O,,5.45,
O=[Ni],,5.08,
O=[W](=O)=O,,5.36,
[O--].[O--].[O--].[Yb+3].[Yb+3],,1.31,
O=[Sb](=O)O[Sb](=O)=O,,5.4,
O=[V](=O)O[V](=O)=O,,7.69,
S=[SnH2],,5.03,
O[S](=O)(=O)c1ccccc1N=C2C=CC(C=C2)=C(c3ccc(Nc4ccccc4)cc3)c5ccc(Nc6ccccc6)cc5,,2,
CC(C)C1CC=C(C)C=C1,,4.95,
ClC(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O,,0.783333333,
CCCCNCC,,11.25,
CCC(C)(OO)OOC(C)(CC)OO,,1.5,
[H+].[Cl-].CNC(C)C(O)c1ccccc1,,2.2,
[Na+].[Na+].[O-][Se]([O-])(=O)=O,,1,
O=[Mn],,5.35,
[Ca++].[O-][Si]([O-])=O,,21.929,
S.[Sb],,5.04,
[S--].[S--].[S--].[Bi+3].[Bi+3],,5.2,
[Na+].[Na+].[O-][W]([O-])(=O)=O,,5.01,
[Te],,2.42,
CCOC(=O)C1CCC(C)CC1=O,,5,
CCOC(=O)CC(NC1CCC(CC2CCC(NC(CC(=O)OCC)C(=O)OCC)C(C)C2)CC1C)C(=O)OCC,,4.224,
ClCC(CCl)O[P](=O)(OC(CCl)CCl)OC(CCl)CCl,,5.22,
[Na+].CCCCCCCCCCCC(=O)N(C)CC([O-])=O,,0.05,
[Zn++].CN(C)C([S-])=S.CN(C)C([S-])=S,,0.13,
[Na+].CNC([S-])=S,,6.8,
[Ba++].[O-][B][O-],,12.62,
[Na+].[O-][V](=O)=O,,4.263333333,
[Ba++].[O-][Se]([O-])=O,,1,
[K+].[O-][V](=O)=O,,2.966666667,
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Fe+3].[Fe+3].[Mo].[Mo],,5.1,
[F-].[F-].[F-].[F-].[F-].[F-].[Na+].[Na+].[Na+].[Al+3],,4.47,
C=CN1CCN(C=C)C1=O,,5.3,
[Li+].[Li+].[Li+].[F-].[F-].[F-].[F-].[F-].[F-].[Al+3],,0.5,
[Na+].[Na+].[O-][Si](=O)O[Si]([O-])=O,,3.51,
[Ni++].CCCCN(CCCC)C([S-])=S.CCCCN(CCCC)C([S-])=S,,0.416,
[Zn++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,,5.47,
[O--].[O--].[O--].[O--].[V].[Bi+3],,5.15,
[Co++].[O-][S](=O)(=O)c1ccc2c3[n-]c(nc4nc(nc5nc([n-]c6nc(n3)c7cc(ccc67)[S]([O-])(=O)=O)c8cc(ccc58)[S]([O-])(=O)=O)c9cc(ccc49)[S]([O-])(=O)=O)c2c1.[H+].[H+].[H+].[H+],,14.2,
N.O[P](O)(=O)CN(CCN(C[P](O)(O)=O)C[P](O)(O)=O)C[P](O)(O)=O,,4.6,
CO\N=C(C(=O)OC)/c1ccccc1COc2ccccc2C,,5.6,
CCCCCCCCCC(=O)N(C)C,,3.5507,
[Fe+3].CN(C)C([S-])=S.CN(C)C([S-])=S.CN(C)C([S-])=S,,0.281,
[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])([O-])=O,,0.58,
NCc1cccc(CN)c1,,1.293333333,
CC(C)C1CCC(C)CC1O,,5.289,
Nc1cc(Cl)nc(C(O)=O)c1Cl,,5.5,
[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[O--].[Al+3].[Al+3].[Mo].[Mo],,5.05,
[Br-].CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,,5,
CC(=C)O[Si](OC(C)=C)(OC(C)=C)C=C,,4.31,
CN1COCN(Cc2sc(Cl)nc2)/C1=N/[N+]([O-])=O,,3.72,
CC(CN)CCCN,,4.9,
[Ca++].NC#N,,0.155,
Cc1cc(Cl)ccc1O,,0.9,
[Na+].[Fe+3].[O-]C(=O)CN(CCN(CC([O-])=O)CC([O-])=O)CC([O-])=O,,2.75,
CC(C)(C)CC(C)(C)c1ccc(Nc2ccc(cc2)C(C)(C)CC(C)(C)C)cc1,,5.8,
[Na+].Cc1cc([O-])ccc1Cl,,2.910333333,
[Na+].CC(C)c1ccc(cc1)[S]([O-])(=O)=O,,6.41,
CC(C)[Si](OC(=O)C=C)(C(C)C)C(C)C,,5.99,
CCN(C1CCCCC1)C(=O)N2N=NN(C2=O)c3ccccc3Cl,,5.085,
[Na+].[Na+].[Na+].[Na+].OCCN(CCO)c1nc(Nc2ccc(cc2)[S]([O-])(=O)=O)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccc(cc6)[S]([O-])(=O)=O)nc(n5)N(CCO)CCO)c(c4)[S]([O-])(=O)=O)cc3[S]([O-])(=O)=O)n1,,1.8575,
CN=C(NCC1CCOC1)N[N+]([O-])=O,,4.09,
Nc1ccc(Nc2ccc(cc2)[S](N)(=O)=O)cc1,,5.2,
CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC,,3.2,
CCCCNc1ccc(NCCCC)c2C(=O)c3ccccc3C(=O)c12,,4,
Cn1ccnc1C,,7.5,
CCCCCCCCCCC(C)CCCCCCCC,,4.8,
NC(=N)[S](O)=O,,0.164,
[H+].[Cl-].CO[Si](CCCNCCN)(OC)OC,,1.49,
CO[SiH](CC1CCCCC1)OC,,5.53,
CCO[Si](CC(C)C)(OCC)OCC,,5.88,
[Na+].[Na+].O[S](=O)(=O)c1cc2[n-]c(nc2c(c1)[S](O)(=O)=O)c3ccc(cc3)c4[n-]c5c(cc(cc5[S](O)(=O)=O)[S](O)(=O)=O)n4,,1.87,
CCCCC(CC)COC(=O)[C@H](C)O,,5.6,
CCC[P](=O)(OC)OC,,5.788,
CC(C)=CCC\C(C)=C\CCC(=C)C=C,,2.06,
S.[Mn],,5.34,
O=[Mo]=O,,5.1,
CN1CCSC1=S,,0.6,
[Cl-].[Cl-].C[n+]1ccc(cc1)c2cc[n+](C)cc2,,0.0007,
BrCC(CBr)(CBr)CO[P](=O)(OCC(CBr)(CBr)CBr)OCC(CBr)(CBr)CBr,,1.81,
CC(C)OCCOC(C)=O,,12.3,
[Ca++].CC(=O)[CH-]C(C)=O.CC(=O)[CH-]C(C)=O,,5.47,
[Na+].COc1cc(OC)nc(NC(=O)N=[S]([O-])(=O)c2ncccc2OCC(F)(F)F)n1,,5.03,
CC(C)(O)c1cccc(c1)C(C)(C)O,,5.12,
CNC.OC(=O)COc1ccc(Cl)cc1Cl,,5,
NC1=C(F)C=NC(=O)N1,,5.17,
CCO[Si](C)(OCC)OCC,,13.5,
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI,,10.6,
CCCCCCCCCCCCCCCCCCOC(=O)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C,,1.81,
CC(C)=NC(=O)c1cccc(c1)C(C)=C,,0.75,
[Te+4].CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S.CCN(CC)C([S-])=S,,0.51,
CC(C)c1cc(C(C)C)c(N=C=O)c(C(C)C)c1N=C=O,,0.11,
CC(CO)CO,,5.1,
CC(=O)C(N=Nc1cc(Cl)c(cc1Cl)c2cc(Cl)c(cc2Cl)N=NC(C(C)=O)C(=O)Nc3ccc(C)cc3C)C(=O)Nc4ccc(C)cc4C,,4.25,
[Zn++].CC(C)CC(C)O[P]([S-])(=S)OC(C)CC(C)C.CC(C)CC(C)O[P]([S-])(=S)OC(C)CC(C)C,,2,
Nc1cccc2c(N)cccc12,,5.27,
CC(C)(C)c1ccc(OC2CCCCC2O[S](=O)OCC#C)cc1,,0.89,
CCC(CO)(CO)COCC(CC)(CO)CO,,5.15,
CCOc1ccccc1NC(=O)C(=O)Nc2ccccc2CC,,5,
CC(C)c1ccc2cc(ccc2c1)C(C)C,,5.64,
O=C=Nc1ccc(cc1)C(c2ccc(cc2)N=C=O)c3ccc(cc3)N=C=O,,0.437,
Cc1ccc(O)c(c1)n2nc3ccccc3n2,,0.59,
O=C1N(CC2CO2)C(=O)N(CC3CO3)C(=O)N1CC4CO4,,3.09,
CCCCCC1C(CCC1=O)CC(=O)OC,,4.93,
CCOC(=O)C(C)C1CCCCC1,,5.4,
CO[Si](CCCOCC1CO1)(OC)OC,,5.3,
CO[Si](CCCOC(=O)C(C)=C)(OC)OC,,2.28,
Cc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,,0.4225,
O=C=Nc1ccccc1Cc2ccccc2N=C=O,,0.606475,
CC(C)CCCCCCCOP(OCCCCCCCC(C)C)OCCCCCCCC(C)C,,12.6,
[Na+].Cc1cc(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)cc(c1C)[S](=O)(=O)NCCO,,0.29,
COC(=O)C(C)(C)N=NC(C)(C)C(=O)OC,,2.034,
CCC(C)(C)c1cc(n2nc3ccccc3n2)c(O)c(c1)C(C)(C)CC,,0.4,
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[O-][S](=O)(=O)c1ccc(cc1)N=Nc2ccc(N\N=C\3C(=O)c4ccc(NC(=O)Nc5ccc6C(=O)C(=N/Nc7ccc(cc7[S]([O-])(=O)=O)N=Nc8ccc(cc8)[S]([O-])(=O)=O)\C(=Cc6c5)[S]([O-])(=O)=O)cc4C=C3[S]([O-])(=O)=O)c(c2)[S]([O-])(=O)=O,,5,
c1ccc(cc1)c2ccc(cc2)c3ccccc3,,3.8,
CC(=O)OC\C=C(/C)C=O,,8.966666667,
Cc1ccc(cc1N=C=O)N2C(=O)N(c3ccc(C)c(c3)N=C=O)C2=O,,1.12,
[H+].[Cl-].CN1SC=CC1=O,,0.113333333,
CCCCCCCCOC1=CC=CC(C1=O)=C2N=C(NC(=N2)c3ccc(C)cc3C)c4ccc(C)cc4C,,0.377,
[Na+].[Na+].NC(=O)CCN(CCO)c1nc(Nc2ccccc2)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccccc6)nc(n5)N(CCO)CCC(N)=O)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n1,,1.8575,
[Na+].[Na+].[O-][S](=O)(=O)c1ccccc1\C=C/c2ccc(cc2)c3ccc(cc3)\C=C/c4ccccc4[S]([O-])(=O)=O,,3.966666667,
Cc1ccccc1Cc2ccccc2,,1,
[H+].[H+].[Cl-].[Cl-].CC(CN=NCC(C)C1=NCCN1)C2=NCCN2,,5.1,
CC(C)(N=C=O)c1cccc(c1)C(C)(C)N=C=O,,0.06,
CCO[P](=O)(CN(CCO)CCO)OCC,,0.522,
CCOc1ccccc1NC(=O)C2=Cc3ccccc3C(=N/Nc4ccc(cc4)C(N)=O)\C2=O,,1.58,
Cc1ccc(cc1Cl)N=C=O,,0.0905,
Cc1ccc(cc1)[S](O)(=O)=O.CC2(C)CC(N)CC(C)(CN)C2,,3.696666667,
[Na+].ClN1C(=O)[N-]C(=O)N(Cl)C1=O,,0.27,
CCC(C)(C)OOC(=O)C(C)(C)C,,9.5,
C1CO[Sb]2OCCO[Sb](O1)OCCO2,,5.2,
[K+].OC([O-])=O,,4.88,
[Ca++].[O-]C(=O)CS,,2729,
CN[C@@H](C)[C@H](O)c1ccccc1,,5.4,
CCCCC(CC)C(=O)OOC(C)(C)C,,42.2,
O=C1C=CC(=O)N1c2cccc(c2)N3C(=O)C=CC3=O,,0.093333333,
Clc1c(Cl)c(Cl)c2C(=O)C(c3ccc4cccc(N5C(=O)c6c(Cl)c(Cl)c(Cl)c(Cl)c6C5=O)c4n3)C(=O)c2c1Cl,,1.04,
O=C1N(c2ccc(cc2)N=Nc3ccccc3)C(=O)c4ccc5c6ccc7C(=O)N(c8ccc(cc8)N=Nc9ccccc9)C(=O)c%10ccc(c%11ccc1c4c5%11)c6c7%10,,5.2,
CC(C)CN(CC(C)C)C(=S)SSC(=S)N(CC(C)C)CC(C)C,,5,
[Cl-].CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(c2cc1C)c4ccccc4C(=O)OC,,0.05,
CO[Si](CCCNC1CCCCC1)(OC)OC,,1.966666667,
CO[Si](C)(CCCNCCN)OC,,5.2,
CCCCCCCC[Si](OC)(OC)OC,,4.433333333,
O=C=Nc1cccc2c(cccc12)N=C=O,,0.27,
COc1ccc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OC)cc4)c(Cl)c3)C(C)=O)cc1,,4.25,
CCOc1ccc(NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccc(OCC)cc4)c(Cl)c3)C(C)=O)cc1,,4.25,
CC(C)c1ccc(O)cc1C,,1.41,
CC(C)(C)C(Cl)=O,,2.69,
CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,,5.05,
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,,3.363,
NCCCNC1CCCCC1,,7.5,
CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC,,2.6,
[OH-].[OH-].[OH-].[OH-].[OH-].[OH-].[Na+].[Sb],,5.4,
CO[Si](CC(C)CC(C)(C)C)(OC)OC,,11.2,
CCCCOC(=O)C(C)O,,5.14,
[Cl-].CN[C@@H](C)[C@@H](O)c1ccccc1.[H+],,2,
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,,5.05,
CC(C)(C)c1cc(CCC(=O)OCCCCCCOC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,,1.7,
CC(O)C(=O)N(C)C,,5.004,
CO[Si](CCCNCCNCCN)(OC)OC,,1.49,
CCO[Si](CC(C)CC(C)(C)C)(OCC)OCC,,11.2,
Nc1nc(N)nc(Nc2nc(N)nc(N)n2)n1,,1,
CCCCN[S](=O)(=O)c1ccccc1,,4.066,
CC(C)[C@H]1CC[C@@H](C)CC1O,,5.289,
O=C=NCc1cccc(CN=C=O)c1,,0.181,
OC(=O)CC#N,,1.966666667,
CC[N+](CC)(CC(=O)Nc1c(C)cccc1C)Cc2ccccc2.[O-]C(=O)c3ccccc3,,0.2,
CC(=C)c1cccc(c1)C(C)=C,,0.54,
Nc1nc(N)nc(N)n1.O=C2NC(=O)NC(=O)N2,,5.1,
OC(=O)CCC(CC(O)=O)(C(O)=O)[P](O)(O)=O,,1.979,
ClCCO[P](=O)(OCCCl)OCC(CCl)(CCl)CO[P](=O)(OCCCl)OCCCl,,1.65,
[K+].[O-][Cl](=O)=O,,5.59,
O=C=NCC1CCCC(CN=C=O)C1,,0.14705,
CC(c1ccccc1)c2ccccc2,,1,
CCC(C)CCCC(C)CCCC(C)C,,2.19,
Cc1cc(n2nc3ccc(Cl)cc3n2)c(O)c(c1)C(C)(C)C,,0.27,
CCCC(C)C(=O)OCC,,5.967,
[OH-].[Al].[Cl].[O-][S]([O-])(=O)=O,,5,
OC1CSC(O)CS1,,0.479666667,
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,,0.04,
[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].CCN(CC)c1nc(Nc2ccc(\C=C\c3ccc(Nc4nc(Nc5cc(ccc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)nc(n4)N(CC)CC)cc3[S]([O-])(=O)=O)c(c2)[S]([O-])(=O)=O)nc(Nc6cc(ccc6[S]([O-])(=O)=O)[S]([O-])(=O)=O)n1,,1.8575,
CCCS[P](=O)(OCC)Oc1ccc(Br)cc1Cl,,2.2,
O=C=Nc1ccc(O[P](=S)(Oc2ccc(cc2)N=C=O)Oc3ccc(cc3)N=C=O)cc1,,6.159,
COc1ccc(\C=C\C)cc1,,5.1,
[Na+].[Na+].OCCN(CCO)c1nc(Nc2ccccc2)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccccc6)nc(n5)N(CCO)CCO)cc4[S]([O-])(=O)=O)c(c3)[S]([O-])(=O)=O)n1,,1.8575,
NC#N,,1,
CC(C)(C)C1CCC(CC1)OC(Cl)=O,,0.72,
CC(C)(C)c1ccc(OC(=O)c2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)c(c1)C(C)(C)C,,0.5,
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,,5.991,
O=CN1CCOCC1,,5.319,
OCCN(CCO)c1nc(Nc2ccccc2)nc(Nc3ccc(\C=C\c4ccc(Nc5nc(Nc6ccccc6)nc(n5)N(CCO)CCO)cc4[S](O)(=O)=O)c(c3)[S](O)(=O)=O)n1,,1.8575,
CC1OC(=O)C(C)OC1=O,,7.94,
COc1ccccc1NC(=O)C(N=Nc2ccc(cc2Cl)c3ccc(N=NC(C(C)=O)C(=O)Nc4ccccc4OC)c(Cl)c3)C(C)=O,,0.23,
CC(c1ccc(OC#N)cc1)c2ccc(OC#N)cc2,,2.6,
[Ca++].[O-]C([O-])=O,,3,
O=[P+](Oc1ccccc1)Oc2ccccc2,,6.7,
OCCN1CN(CCO)CN(CCO)C1,,0.369666667,
Nc1cccc2cccc(N)c12,,0.877,
C\1C\C=C/CC\C=C/CC/C=C1,,8.2,
O=C1N=CNc2ccccc12,,5.18,
Cc1cc(C)cc(c1)N2C(=O)c3ccc4c5ccc6C(=O)N(c7cc(C)cc(C)c7)C(=O)c8ccc(c9ccc(C2=O)c3c49)c5c68,,5.2,
